color,propotion
beige,1.904635936776668
black,21.84710005951987
blue,8.132729316844124
brown,1.7657562330533696
burgundy,2.0054890549566826
charcoal,0.11077309701739302
gold,2.173302030289002
gray,14.273196217181402
green,2.571754513590371
lime,0.0016533298062297468
off-white,0.35298591363005094
orange,0.4769856490972819
pink,0.00991997883737848
purple,0.3934924938826797
red,6.438066265458634
silver,15.014714635275444
turquoise,0.05703987831492626
white,17.32110971496594
yellow,0.16698631042920442
â€”,4.982309371073342
